,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30
0,TNFSF15,TK1,MT1G,INHBA,CCL4,CRIM1,TK1,GNLY,NDRG2,SLC28A3,UBD,TYMS,MS4A1,FXYD2,MT1G,APOL4,GP1BA,FXYD2,FCGR1B,LXN,GZMH,IL2RA,GCH1,CXCL10,PID1,FBXO15,MS4A1,GBP5,C1QA,CD163
1,RP11-236B1,ASF1B,MT1H,SLC1A2,NKG7,NDRG2,TYMS,GZMH,HOPX,CCND1,NCCRP1,UBE2C,CD79A,SERPINF1,MT1H,FCGR1A,MT2A,CPNE6,ANKRD22,MPO,CHEK1,LTA,CD79A,GBP5,CD14,CD200R1,TNFRSF13B,CXCL10,C1QB,ADORA3
2,GDF15,TCF19,CXCL5,RP11-81H14,F3,SPARC,RRM2,GZMB,IGFBP6,MYBPH,PTGIR,KIAA0101,CD79B,CALCRL,MT1M,ANKRD22,MT1G,PTPRS,FCGR1A,FFAR4,GNLY,KIF21A,MS4A1,ANKRD22,CTD-2319I1,SPARC,CD79A,FCGR1A,CD163,MS4A6A
3,RGS16,TYMS,CCL2,CCR7,TNFSF15,BHLHE41,ASF1B,PRF1,CPNE6,TM4SF19-1,CALCRL,MKI67,BANK1,RARRES2,MT1X,GBP5,MT1M,TIE1,APOL4,CD14,EOMES,ZBED2,THBS3,FCGR1A,PROC,RP5-943J3.,BCAS4,MS4A1,MS4A6A,RNASE1
4,INHBA,CLLU1OS,CXCL3,TNFSF15,OCSTAMP,SOD2,KIAA0101,KLRC2,RASL10A,TM4SF19,AOC1,RRM2,TNFRSF13B,TSPAN13,MT1E,ETV7,MT1H,PNOC,SECTM1,CCDC34,COL6A1,RP11-22P6.,IL2RA,ETV7,LXN,AF165138.7,CD79B,CD79A,ADORA3,MTMR11
5,MTMR11,VMO1,INHBA,NR4A3,CCL3,RP11-81H14,TCF19,NKG7,CD200R1,NREP,LYPD3,CDK1,BLK,PNOC,MT1F,GCH1,CLEC4E,PLD4,RP11-753H1,CASZ1,FGFBP2,ICOS,L3MBTL4,CCL8,MT1G,NIPSNAP3B,GINS2,ANKRD22,OLFML2B,GPR34
6,SERPINB2,CDK1,VMO1,OCSTAMP,GZMB,SLC2A6,E2F1,GZMA,TACSTD2,EOGT,PLA2G16,TK1,VPREB3,SPIB,MT2A,GBP1,TRIB3,LRRC26,RNLS,COL6A1,NKG7,ZNF300,TNFAIP6,CXCL9,MT1X,SERPINF2,AC006129.4,TNFRSF13B,C1QC,ADAMTS2
7,MT2A,FCGR3A,PID1,LINC01050,IL32,TNFAIP6,CDK1,FGFBP2,SORBS1,RP11-20G13,LOR,MS4A1,AC006129.4,PTGIR,SLC39A8,FCGR1B,MTMR11,CD207,ITGB8,XCL1,HMGCS1,CTB-58E17.,STARD4-AS1,LTA,RP11-793H1,S100A5,BANK1,FCGR1B,GPR34,C1QA
8,GP1BA,RRM2,CCL7,CRIM1,GNLY,GP1BA,GINS2,XCL2,CCL1,FGFBP2,HLA-DQA1,CD79A,PKIG,HLA-DOA,LTBP2,IFIT2,SLC2A6,FABP4,GADD45A,RP3-473L9.,IL2RB,CENPU,CD28,APOL4,ARHGAP11A,PPP2R3A,TEX9,GBP4,VSIG4,OLFML2B
9,CSF1,GP1BA,FCN1,CSF1,INHBA,CLEC4D,FAM111B,MT1G,CRIM1,SPARC,TREML1,TOP2A,BCAS4,HLA-DQA1,PID1,CCL8,NDRG2,TRIM54,CRIPAK,TNNT1,COL6A2,LAG3,CD79B,CDC6,MT1F,GINS2,TNFRSF17,HAPLN3,VSTM2L,THBS1
10,MMP19,KIAA0101,CXCL2,GADD45A,PRF1,EOGT,ZWINT,KLRF1,EREG,SHOX2,DAPP1,TCF19,TNFRSF17,LRRC26,CCL2,SECTM1,SLAMF1,PITX1,TPSAB1,CTD-3195I5,KIAA0101,PRR12,VPREB3,TNFSF10,CXCL1,PTPN13,CD27,ETV7,MT1H,TCN2
11,TRIB3,RP11-236B1,AF165138.7,ITGB8,GZMA,SIGLEC15,CENPM,KLRD1,LL21NC02-1,UCHL1,SPIB,BIRC5,SPIB,PTPRS,CXCL5,HCAR3,C1QB,IGJ,PRRG2,MAP2K6,RP5-1180E2,DBN1,USP2,GCH1,AKR1C3,IFIT2,C14orf182,APOL4,C3AR1,TBC1D16
12,C1QB,RP11-81H14,SDS,OTUD7B,CCL2,NR1H3,MND1,MT1H,GPX3,AK4,RAB30,STMN1,TEX9,TSPAN15,STEAP1,IL27,AMICA1,IGFBP6,FAM131C,RP11-731C1,RNLS,PTPN13,TCL1A,LAG3,LETM2,CDK1,BLK,BANK1,MTMR11,SLCO2B1
13,INSIG1,DSCC1,TNFSF15,BIRC3,CTSW,CLEC4E,ORC6,MT1M,CD226,LINC01050,IDO1,AC006129.4,TLR10,GRIN1,TNFRSF11A,APOBEC3A,MT1E,COL6A1,NREP,DCBLD2,MT1G,NCAPH,IDO1,HAPLN3,MT1H,PTGIR,CDCA7,CD79B,MT1G,SPRY1
14,PDCD1,TEX9,RP11-236B1,LAMP3,GBP5,TSPAN33,MKI67,CTSW,PROC,IL1RN,SERPINF1,ASF1B,CD19,RAMP1,RP11-556E1,IFIT3,FCGR3A,CRABP2,AFF3,S100A16,ENKD1,CDCA5,FCGR1A,SECTM1,NFATC2,CDAN1,ORC6,VPREB3,GAPT,GAPT
15,IL1RN,E2F1,HES4,TNFAIP6,GEM,KYNU,CDCA7,FASLG,AMICA1,IGFBP6,FSCN1,KIF2C,PNOC,LOR,PAQR5,SERPING1,TSPAN33,FAM219A,PRSS22,AC007880.1,C12orf75,RP11-709B3,TAGAP,GZMB,LTBP2,PHLPP1,KIAA0101,GBP1,CPNE6,VSIG4
16,TNFRSF4,UBE2C,MT1M,FAM131C,GZMH,LINC00937,DSCC1,XCL1,NDP,NR1H3,TSPAN13,CENPF,TNFRSF13C,TCF4,PLTP,GBP2,MT1F,SLC51B,ZFHX2,AP000692.1,NFATC2,NES,EPAS1,IFIT2,RP11-473M2,RP11-16K12,SESN3,CXCL9,IL1R2,SH2D4A
17,SLCO4A1,CEP55,GDF15,IDO1,SH2D2A,AC079767.4,CLSPN,LAG3,OLFM2,CRIPAK,TSPAN15,ASPM,RP11-693J1,CIITA,TNNT1,IDO1,KYNU,TCF4,CPEB1,FPR2,AC006129.4,TMEM121,MYH3,FCGR1B,CLEC4E,LL22NC03-8,FAM216A,SERPING1,SPRY1,C1QB
18,RGCC,MKI67,CLLU1OS,AK4,PDCD1,NCF1,CDC45,ZNF683,LRRC16B,SCG5,CXCL9,CD79B,COBLL1,IGJ,FN1,TIGIT,LINC00937,NDRG2,HSF2BP,C12orf61,LSM11,CENPM,CEP76,E2F1,IL1B,CCNE1,PKIG,CD19,MT1E,C1orf162
19,SLAMF1,AF165138.7,IL1B,DPYSL3,CCL5,AK4,UBE2C,MT1X,ENHO,SPOCD1,RARRES2,CENPM,LRMP,HLA-DOB,CCL7,CIITA,CD200R1,BCL7A,SERPING1,STXBP5-AS1,DUSP4,NDFIP2,CD27,GBP1,RP11-229P1,RP11-297N6,WDR76,BLK,ADAMTS2,C1QC
20,TRAF1,ZWINT,SLC39A8,IL36B,CCL3L1,CYP27B1,CENPU,CST7,SPARC,RP11-1008C,HLA-DOA,TNFRSF13B,CD70,FSCN1,P2RY6,APOL3,MT1X,ETNK2,MED12L,GNLY,MT1H,MFSD9,KIAA0125,IDO1,MARCKSL1,REPS2,ENPP2,AIM2,PARM1,IL1R2
21,DUSP5,ESCO2,CCL3,RGCC,RGCC,HSD17B14,CEP55,P2RY6,TNFRSF4,CNIH3,PPP1R14A,PKIG,ID3,IKZF2,CXCL1,TRAT1,C1QA,OLFM2,ENHO,KLRC4,DDX11,HELLS,PLK2,IL27,AMICA1,ZNF485,MCM7,TNFRSF17,TCN2,METTL7A
22,MIR155HG,GINS2,ATF3,ALOX15B,KLRD1,HOPX,ESCO2,MT1F,CLEC4E,GPC4,CD200,TEX9,KIAA0125,NRXN2,THBD,IFIT1,OLFM2,SORBS1,KIAA1958,SLC2A11,PLK2,MAP7,GPR171,CXCL11,PLTP,PHACTR1,CLU,AC006129.4,SORBS1,ZBTB16
23,CCL4,TNFRSF17,IL1RN,PAPLN,CSF1,RASL10A,CDT1,CD70,TBX21,PROC,LY75,BLK,AL928768.3,HMSD,NDP,HCAR2,TNFRSF4,CD226,VPREB3,ZNF184,C21orf58,IFT172,MYCL,LIMK2,DDX26B,RP11-81H14,AIM2,COBLL1,IGFBP6,MFGE8
24,COL4A2-AS2,KIF2C,RP11-1008C,BHLHE41,TBX21,RP11-490M8,CCNE1,THBS1,CLEC4D,AC017002.1,RP11-215G1,BANK1,PDLIM1,TMEM136,FAM216A,AIM2,GLDN,COL6A2,FBN1,PIK3R3,GBP4,ZBTB32,LAG3,CENPO,CASC15,REC8,COBLL1,TNFSF10,MFGE8,MERTK
25,IDO1,AC006129.4,EREG,GPC4,CD2,CCL4,DHFR,RNASE1,CYP27B1,SIGLEC15,HLA-DOB,TNFRSF17,RALGPS2,TIFAB,ZNF711,FBXO15,NCF1,PHACTR1,HSD17B14,BACE1,CCL5,VMO1,MYO18A,NCR3,FCN1,KIF23,LOR,CD14,MERTK,C3AR1
26,EBI3,TIFAB,NR4A3,RP11-261C1,RARRES3,AK8,CENPK,MT1E,CD207,CD8A,HELLS,NUSAP1,SP140,P2RY8,CD300E,SLC30A3,HLA-DPA1,SLC30A3,IZUMO4,GDPGP1,CAMK2N1,PAM,TNFRSF9,GINS2,VCAN,CLSPN,SYT17,LINC00937,RNASE1,SH3PXD2B
27,GBP2,RP11-567J2,INSIG1,ATF3,KLRC1,MARCKS,CDC6,TNFRSF11A,S100A13,GAL,RP1-249H1.,ZWINT,TYMS,DAPP1,ABCC4,VAMP5,CRIM1,CCL1,LY9,H2AFY2,CDK1,CPNE6,LTA,MX1,NXPH4,KIAA0101,SFXN1,XAF1,GLDN,ABLIM3
28,ATF3,CDCA7,MMP19,MAMLD1,INSIG1,AMICA1,KIF2C,EOMES,CYP19A1,PTCD1,CD70,MND1,IGJ,ACVR1C,EREG,RTKN2,MS4A1,SERPINF1,GP1BA,MT1E,SP140,FAM134B,RP5-1180E2,IL2RA,FAM57A,ANKHD1-EIF,SHF,SECTM1,SLCO2B1,SESN1
29,C1QA,WDR54,SERPINB2,CCL3,CST7,SLC1A2,COCH,HOPX,FSCN1,BHLHE41,TM7SF2,GINS2,EBF1,HLA-DPB1,TSPAN15,OASL,C3AR1,TNFRSF11A,LIPT1,RUNX2,APOBEC3H,BATF,NCR3,GBP2,MT1M,BBS9,FOXD4,PNOC,SH2D4A,TFPI
30,GLDN,KIF23,OCSTAMP,EBI3,CD3D,CCL1,AC006129.4,SLC39A8,NEDD4L,LY9,CNN3,KIF23,STAP1,RP11-215G1,MARCKSL1,TNFAIP6,PYCR1,TIMP3,LTBP2,ZHX3,POLE2,TNFRSF4,EBI3,CD40LG,SPINK2,DBN1,AMIGO2,SAMD9L,SPOCK1,MS4A4A
31,GEM,SLC9A9,CSF1,TVP23A,HAPLN3,LPAR4,HELLS,SLCO2B1,LINC00937,NES,CCL17,CDT1,TPD52,GNG7,VSIG4,ACVR1C,CCNB1,TACSTD2,LINC01011,IL1B,TYMS,CHEK1,HELZ2,TNFRSF9,MYCL,DNMBP,CD70,LTBP2,PLD4,FGD2
32,UBD,AMICA1,THBS1,LAD1,CXCL10,FAM19A4,BRIP1,APOBEC3G,NES,PLEKHF1,WNT5B,HIST1H1B,KIAA0101,HLA-DQB1,MYEOV,MX1,BHLHE41,DOCK1,MYEOV,LINC01023,UBE2C,HPDL,CD40LG,TONSL,TNNT1,HELLS,TYMS,POU2AF1,MT2A,FKBP5
33,MSR1,TRIM59,CXCL1,FBN1,LAG3,NDP,HIST1H1B,OASL,BHLHE41,FAM134B,P2RY8,KIF11,MEF2C,ICOSLG,C14orf182,FXYD2,IL1R2,C1orf186,RP11-166A1,COL6A2,PYHIN1,C14orf182,CD70,ZBED2,PAXBP1-AS1,IBA57,C12orf66,IGJ,REPS2,TSC22D3
34,VSTM2L,COCH,RGCC,BAALC,GBP1,GRAMD1A,TNFRSF17,VSIG4,S100A5,LAT,GRASP,BCAS4,POU2AF1,LAMP3,STIL,PSRC1,PROC,RNLS,CCDC171,POMZP3,COQ10A,SFXN1,KIAA1958,FAM26F,CXCL3,AUTS2,POU2F2,IFIT2,MT1M,VSTM2L
35,HES4,CENPU,SEMA6B,DUSP5,PLEKHF1,EFHC2,TEX9,CD14,TNFRSF18,GTF2IRD1,CXCL10,DSCC1,CD27,TMEM97,FCN1,RP11-497H1,VAMP5,UCHL1,CTDSPL,RP11-324I2,GINS2,GINS2,BX255923.3,APOBEC3A,GZMM,TK1,OIP5,TEX9,TBC1D16,SAP30
36,TNFRSF18,CD200R1,MT1X,CPEB1,SLC2A3,ALOX15B,STAP1,SPIB,TRIM54,RP11-166A1,NET1,CDCA8,RRM2,PLD4,RNASE1,RP4-553F4.,SPARC,FHL1,AC068039.4,LIMK2,MT1M,CENPF,RP11-23P13,XCL2,ITGA1,MTRNR2L12,MEF2C,MZB1,SAA1,TLR2
37,MIR4435-1H,MCM7,CD300E,EOGT,CD247,COL6A1,CHAF1B,CXCL10,TSPAN17,EOMES,HLA-DPB1,E2F1,TCL1A,MCOLN2,CCDC171,RP11-218F1,HLA-DQA1,STAB1,CCR2,C10orf88,BIRC3,NCAPG2,ITGB8,SH2D2A,ZAP70,APBB2,CLIC2,HCAR3,ZBTB16,SPOCK1
38,RP11-69E11,DHFR,FPR2,CBR3,IL2RB,CCL3L1,EBF1,PID1,RP11-490M8,DIRC3,ADTRP,HIST1H4C,TCF19,BCL7A,CCNE1,AQP3,HLA-DPB1,MYH3,KB-1410C5.,CTB-41I6.1,CD8A,OXCT1,F5,GBP4,SRSF10-1,TNFAIP6,PYCR1,ZNF629,FCGR3A,RP11-798M1
39,F3,ORC6,LTBP2,IL1R1,THBD,CPNE6,ID3,MT2A,RP11-245G1,NDRG2,CIITA,TPX2,GINS2,ZNF296,CLSPN,RARRES2,GCH1,EFHC2,PLK1,LINC00176,GADD45A,ZNF618,STXBP5-AS1,FASLG,THBD,FCGR1B,VPREB3,STAP1,LRRC16B,IL10
40,RP11-1008C,CXCL3,EGR3,CLLU1OS,AC092580.4,MYO1G,TOP2A,ETV5,ETNK2,RTN4RL2,RP11-693J1,C2orf88,TK1,BTN2A2,VCAN,LTA,PIF1,FBXO32,RP11-1008C,CCNT2-AS1,CTD-2349P2,CD40LG,COL6A1,CHEK1,PYCR1,KLHL15,RP11-94L15,CDC6,LRRC26,STAB1
41,LY9,EBF1,COL4A2-AS2,SHOX2,GZMK,SLC9A9,BIRC5,STAB1,C22orf42,GZMK,HLA-DQB1,PNOC,COL9A3,ITM2C,ITGA11,BATF2,CLEC4D,GRIN1,RP11-556E1,KLRF1,CD2,USP30-AS1,CDAN1,SERPINI1,RP11-307C1,RASL11A,ITIH3,NCF1,CCL19,GLDN
42,SPRY1,PNOC,TM4SF19-1,DSG2,GZMM,PDE4B,SP140,NT5DC2,GP1BA,FBXO32,CLSPN,CDCA5,IGLL5,GPR157,RP11-184M1,TCN2,SOD2,P2RY6,GAPT,MYEOV,CDKN3,ASAP2,CTD-2256P1,IFIT3,EREG,ZBTB32,DNLZ,CLEC4E,FBXL14,P2RY1
43,CLLU1OS,CXCL2,SLAMF9,JAG1,CD7,JAG1,MCM7,CCL2,NPR1,CAMK2N1,FANCI,ORC6,COCH,CCDC28B,CXCL3,CD6,RP11-69E11,S100A13,PRSS57,L3MBTL4,CDT1,NREP,RP11-81H14,HCAR3,CCL2,FPR2,CHEK1,TCF4,CNIH3,SLAMF1
44,NCCRP1,STMN1,CFP,TAGLN3,CD96,CREB5,MS4A1,CXCL9,HIST1H2AC,AKR7A3,TMEM136,CDCA7,RP5-887A10,CD70,SLC1A2,MYBPH,FKBP5,NES,STARD4-AS1,ZNF496,DHFR,TTC7B,MZB1,GPR171,AC017002.1,AFMID,RP11-81H14,ZNF205,MAMSTR,MTSS1
45,RP11-81H14,MEF2C,TINAGL1,ETV3,CLIC3,COL6A2,STMN1,IFNG,SLC30A3,AHDC1,TBC1D4,SPIB,TCF4,AUTS2,STXBP5-AS1,BHLHE41,CLIC2,PPP2R3A,MYBPC3,MYH3,FSD1L,ETNK2,NPDC1,ICOS,PAM,RP11-932O9,ZNF440,ZBTB39,FBLN5,RP11-184M1
46,TVP23A,MARCKS,P2RY6,CLEC4D,RGS16,PROC,BLK,PLA2G16,NCF1,FBXO15,IL2RA,HMMR,CDCA7,LRRC61,PRKCDBP,USP30-AS1,GBP2,HSPG2,CBR3,CD300E,NFXL1,AC025171.1,TLR10,KLRC1,LSM11,CTD-2054N2,RPS17,IL27,SCARB1,ALOX15B
47,AK8,TCF4,MSR1,PDE4B,GPR171,GCH1,TPD52,CXCL5,ASAP2,KCNJ1,SOCS1,NDC80,MZB1,SNX20,PHLDB1,APOL1,VSTM2L,MEF2C,ZNF496,ZNF385D,SGOL1,RASL10A,C14orf182,IFI27,SRP14-AS1,FCGR1A,PTPN13,FXYD2,ABLIM3,CEBPD
48,TM4SF19-1,CDKN3,MARCKSL1,MPO,CXCL9,SHF,CCDC34,NCR3,KYNU,C6orf52,ICOSLG,CEP55,CTA-250D10,SLC25A23,AHDC1,SLC28A3,LRRCC1,CLECL1,FBF1,RP11-336K2,SYNE2,TRIM54,TNFSF10,USP30-AS1,LTC4S,GALNT3,ID3,STAT1,PKMYT1,IL1R1
49,MS4A4A,CDT1,RP11-567J2,SPRY1,GBP4,PAPLN,POLE2,FCN1,ARHGAP5-AS,HIVEP3,CST7,CCDC34,STMN1,GATSL3,SCG5,SIGLEC1,SPRY1,GAPT,CIITA,TAGLN3,CENPM,FITM2,FSTL3,IFNG,LINC00937,FFAR4,FANCI,MT1M,SLAMF1,SIGLEC10
