,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40
0,MALAT1,CLU,CRIP1,MIR4435-1H,FOSB,LAT,RPL21,IER2,RNU12,CMC1,XBP1,LRRK2,FCER1A,IFI6,NUCB2,CD8B,ZFP36,AHNAK,CREM,G0S2,RP11-291B2,AC079767.4,LGALS2,PMAIP1,QPCT,FHIT,CD3D,RETN,RP5-887A10,S100A12,NCR3,RPL21,ADAM28,MALAT1,FCGR3A,GZMK,MT2A,IL4R,LGALS2,GZMK
1,ARHGAP24,PPBP,DAAM1,LINC00152,ANKRD28,CD27,IL8,FOS,WDR74,GNLY,ANXA1,SNORD3A,CLEC10A,MT2A,CD8B,TIGIT,IER2,ID1,ZNF331,NAMPT,CD8B,ARHGAP24,CPVL,IRF1,CYP1B1,RPL21,FGFBP2,RHOB,TNFRSF13B,IFI6,LTB,S100A12,STAG3,RPL21,CDKN1C,LTB,IER2,FCER2,CRIP1,CD3D
2,AC079767.4,NRGN,PPP1R14A,RP11-138A9,PHACTR1,CD40LG,FOS,FOSB,TMEM107,SYTL3,CD8B,SAP30,HLA-DPA1,LY6E,RP11-291B2,ISG15,FOS,CES1,PIK3R1,HIF1A,CD8A,RPL21,HLA-DRA,VPREB3,CDC42EP3,CCR7,LAIR2,PTCH2,CLECL1,CTSD,TNFRSF18,IRS2,CCR7,ZFP36,HES4,CD27,ID2,PPAPDC1B,HLA-DPB1,RPL21
3,MS4A1,AIF1,RP5-887A10,RP11-138A9,MIR24-2,LBH,S100A12,ZFP36,PTCH2,MALAT1,GZMK,CD163,HLA-DPB1,ISG15,CCR7,GZMH,FOSB,LMNA,DUSP2,BASP1,S100B,CD83,TMEM176B,PDE4B,VNN2,TSHZ2,SPON2,WDR74,AL928768.3,LTB,TIMP1,VCAN,IL4R,FOS,MS4A7,LEPROTL1,IL32,LINC00926,HLA-DPA1,LTB
4,RALGPS2,LST1,ATP2B1,RORA,PPP1R15A,PASK,CCL3,BTG2,RP11-386I1,HOPX,CD8A,MEGF9,HLA-DRB1,TNFAIP3,AIF1,RGS1,PPP1R15A,CRIP1,TMEM2,VNN2,NUCB2,HLA-DPB1,HLA-DRB1,FAM26F,S100A12,PIK3IP1,DNAJB1,HMGB2,BANK1,ISG15,GTF3C1,MGST1,SESN1,FCER1G,RP11-290F2,FOS,CD3D,ADAM28,HLA-DMA,IL7R
5,CD79A,S100A8,AL928768.3,MAF,LINC00936,STK17A,IL1B,PPP1R15A,SNORD3A,RPL21,CCL5,TLR2,HLA-DRA,MT1X,ATM,IFI44L,NR4A2,ID2,SYTL3,RGS2,CCR7,HLA-DQB1,HLA-DMA,GADD45B,IRF1,ADTRP,AKR1C3,RNU12,BLK,S100A8,ZNF683,AHNAK,S100A4,FTH1,RHOC,IL7R,LY6E,MEF2C,HLA-DRB1,CD3G
6,BANK1,S100A9,HSPA4,PRDM1,NR4A2,OCIAD2,FOSB,NR4A2,IER2,CD160,FKBP11,WDR74,CPVL,IFITM3,RPL21,IFI6,DUSP2,RETN,MAP3K8,SLC2A3,OXNAD1,HLA-DPA1,MS4A6A,GZMK,CDA,PRKCQ-AS1,PTGDS,S100A12,IGJ,LY6E,ITGB1,NRGN,MIR4435-1H,IER2,LYPD2,ZNF331,ANXA1,BIRC3,HLA-DRA,CD8B
7,HLA-DRA,CST3,BLK,ATG2A,FOS,ITM2A,IER3,IFRD1,FOSB,PIK3R1,LYAR,HMGB2,FCER1G,B2M,CSF3R,LY6E,BTG2,CKAP4,LEPROTL1,JUND,PASK,HLA-DRA,LGALS3,RP5-887A10,RAB11FIP1,CD40LG,CD3G,TMEM107,MS4A1,APOBEC3A,DSTN,CSF3R,CD3D,BTG2,LST1,RPL21,NEAT1,STAG3,CDKN1A,XCL1
8,CD74,S100A12,AHNAK,LMNA,KLF6,AIF1,IER2,JUND,KMT2E-AS1,CCL5,GZMA,RNU12,CD74,G0S2,S100A8,CD8A,CRIP1,IER5,PDE4D,FOSL2,RPL21,CD69,AP1S2,IGJ,PLBD1,ITM2A,S100A4,MNDA,ARHGAP24,RBP7,IGFBP7,IRAK3,HSPB1,FCGR3A,HMOX1,FCER1G,IFITM3,HVCN1,CPVL,CD27
9,FCRLA,DUSP6,PDLIM1,EML4,ID1,HLA-DRA,S100A8,GADD45B,EGR1,KLRF1,DUSP2,IRAK3,HLA-DRB5,IFI27,FCER1G,LAIR2,LMNA,MGST1,TNFAIP3,THBS1,LBH,FAM26F,NPC2,TSPAN13,CD14,ATF7IP2,FTH1,CES1,COBLL1,PLAC8,FTH1,IL8,LINC00152,CFD,C1QA,GPR183,IFI6,TCL1A,YBX3,CD2
10,HLA-DQB1,FCER1G,FAM3C,TMEM2,IL8,LEPROTL1,PMAIP1,EGR1,SDR42E2,MYBL1,PIM1,GCA,HLA-DQA1,RETN,CST3,IFI27,RGS1,MIDN,EML4,ZFP36L1,APBA2,HLA-DRB1,CRIP1,BIRC3,CKAP4,MAL,CD99,VCAN,RALGPS2,B2M,FCER1G,RP11-290F2,RP5-887A10,RGS2,VMO1,PIK3R1,DUSP2,RP11-693J1,ZFP36L1,DUSP2
11,ADAM28,CFD,CPNE5,RP11-347P5,GPR183,HLA-DPA1,PPP1R15A,SLC2A3,RHOB,CCL4,GZMM,RGS18,CST3,IFI44L,S100A9,RNF213,GADD45B,VCAN,RBM38,IRS2,PIK3IP1,BTG2,HLA-DPB1,MIR4435-1H,SLC2A3,FOXP1,MYOM2,SAP30,AC079767.4,IL7R,TNFRSF4,CRIP1,PIK3IP1,CTSS,AIF1,DUSP2,CD69,FCRL1,DPYSL2,HLA-DRB1
12,HLA-DQA1,CTSS,CAPG,FAM46C,TMEM107,HLA-DRB1,S100A9,SDR42E2,RPPH1,NKG7,KLRG1,NFKBIZ,HLA-DMA,EREG,MNDA,CD38,KLF6,TNNT1,NR4A2,SIK1,CD27,FOXP1,CLEC4A,LYAR,IER2,CD27,ALOX5AP,CLU,CD79A,IFI44L,MYOM2,MIR24-2,IL32,LST1,SERPINA1,CD69,IFITM1,CD22,CD74,HLA-DRA
13,HLA-DPA1,VCAN,CDC42SE1,RGS1,ANXA1,CST3,EREG,SERTAD1,IFI44L,KLRD1,NKG7,PELI1,GNLY,THBS1,LYST,RP11-291B2,IDS,LGALS1,CNOT6L,PDE4B,LEPROTL1,ZFP36L1,HLA-DPA1,BTG2,RBP7,LEPROTL1,PRSS23,GCA,POU2AF1,CD14,HPGD,FOSL2,STK17A,PPP1R15A,STXBP2,AIF1,S100A4,TSPAN13,HLA-DQB1,EML4
14,VPREB3,CD14,MARCKS,ANKRD28,ARL4A,ARRDC3,IRS2,ZNF331,LY6E,CST7,AC092580.4,TNFAIP3,HLA-DQB1,IFITM1,VCAN,TMEM2,ANXA1,NRGN,RGS1,PER1,CD7,ARL4A,IGSF6,PIM2,MNDA,LBH,GZMH,NRGN,GPR183,CDA,PRSS23,PER1,FCRL3,SERPINA1,CD68,IFITM3,CCL5,HLA-DOB,IER5,CD74
15,SNX29P2,RP11-290F2,CD9,FCER1A,RP11-347P5,ATF7IP2,CD83,HEXIM1,HEXIM1,PPBP,CTSW,CDC42EP3,IGFBP7,PLAC8,ZEB2,LINC00152,S100A4,DPYSL2,IDI1,LRRK2,ATM,FTH1,HLA-DMB,LTB,PLEK,CD3D,CCL4,CTSD,SPIB,GIMAP4,CREM,CDA,ID2,CD68,BCL2A1,CLDND1,TIMP1,PKIG,KLF10,CD8A
16,CD79B,MNDA,APOBEC3A,ATF7IP2,RNU12,HLA-DPB1,EGR1,TSPYL2,FOS,KLRB1,ID2,PTCH2,IGSF6,CES1,FHIT,IRF7,CD99,ANXA1,RNF125,PELI1,STK17A,HLA-DQA1,CD74,IL7R,LYST,MALAT1,FCRL6,PPBP,CPNE5,TRAT1,ASCL2,S100A8,COBLL1,CEBPB,SPI1,FTH1,CEBPB,SESN1,AHNAK,PDE4B
17,CD22,CLEC7A,LGALS1,ARL4C,WDR74,LGALS2,VCAN,WDR74,ISG15,CLU,SDF2L1,RETN,SPI1,HMGB2,S100A12,ARID5B,FTH1,IRF1,CD69,NR4A2,TOB1,IER2,NRG1,RPL21,MIDN,CD3G,SYNE2,SLC2A3,CCDC50,PIM1,SPOCK2,EREG,AIF1,SAT1,FCER1G,NUCB2,SLC2A3,CD74,LMNA,LAG3
18,FCRL2,SPI1,RETN,CLEC10A,ZFP36,HLA-DMA,SOD2,CD69,CD69,KLRG1,PTGER4,IRF1,LGALS2,MT1E,MALAT1,FGFBP2,ID2,ANKRD28,TSPYL2,C5AR1,SPINK2,BCL11A,ASGR1,PIM1,NFKBIZ,OXNAD1,CREM,GIMAP4,PDLIM1,S100A9,NSG1,S100A9,LGALS1,CST3,FAM26F,RGS1,ARID5B,IRF8,HLA-DMB,GPR183
19,HLA-DPB1,LGALS1,C1orf56,S100A4,IDS,CPVL,TNFAIP3,ILF3-AS1,IFI6,C1orf21,STMN1,TNFSF10,KLRF1,CAPG,CTSS,FCRL6,PMAIP1,ZEB2,ARID5B,AQP9,PRKCQ-AS1,RTKN2,CTSS,LINC00152,S100A8,ARRDC3,AIF1,MEGF9,GNG7,CD3D,LGALS1,VEGFA,CD27,RP11-347P5,LYN,LST1,GZMK,HLA-DQB1,HLA-DQA1,MT1E
